ibge6,lon_mun,lat_mun,fonte_geometria,ibge7,mun_nome,mun_nome_norm
330411,-44.2892,-22.4214,tabela_estatica_ibge_sedes_municipais,3304110,Porto Real,PORTO REAL
330412,-44.2575,-22.4081,tabela_estatica_ibge_sedes_municipais,3304120,Quatis,QUATIS
330414,-43.5556,-22.7133,tabela_estatica_ibge_sedes_municipais,3304140,Queimados,QUEIMADOS
330415,-41.4667,-22.1083,tabela_estatica_ibge_sedes_municipais,3304150,Quissamã,QUISSAMA
330420,-44.445,-22.4514,tabela_estatica_ibge_sedes_municipais,3304200,Resende,RESENDE
330430,-42.6139,-22.7044,tabela_estatica_ibge_sedes_municipais,3304300,Rio Bonito,RIO BONITO
330440,-44.0409,-22.6536,tabela_estatica_ibge_sedes_municipais,3304400,Rio Claro,RIO CLARO
330450,-43.5811,-22.1689,tabela_estatica_ibge_sedes_municipais,3304500,Rio das Flores,RIO DAS FLORES
330452,-41.9058,-22.5281,tabela_estatica_ibge_sedes_municipais,3304520,Rio das Ostras,RIO DAS OSTRAS
330455,-43.2075,-22.9068,tabela_estatica_ibge_sedes_municipais,3304550,Rio de Janeiro,RIO DE JANEIRO
330460,-42.0103,-21.9506,tabela_estatica_ibge_sedes_municipais,3304600,Santa Maria Madalena,SANTA MARIA MADALENA
330470,-42.1725,-21.5344,tabela_estatica_ibge_sedes_municipais,3304700,Santo Antônio de Pádua,SANTO ANTONIO DE PADUA
330475,-41.1247,-21.4475,tabela_estatica_ibge_sedes_municipais,3304750,São Francisco de Itabapoana,SAO FRANCISCO DE ITABAPOANA
330480,-41.7431,-21.6467,tabela_estatica_ibge_sedes_municipais,3304800,São Fidélis,SAO FIDELIS
330490,-43.0575,-22.8269,tabela_estatica_ibge_sedes_municipais,3304900,São Gonçalo,SAO GONCALO
330500,-41.0433,-21.6386,tabela_estatica_ibge_sedes_municipais,3305000,São João da Barra,SAO JOAO DA BARRA
330510,-43.3667,-22.8036,tabela_estatica_ibge_sedes_municipais,3305100,São João de Meriti,SAO JOAO DE MERITI
330513,-42.2333,-21.3333,tabela_estatica_ibge_sedes_municipais,3305130,São José de Ubá,SAO JOSE DE UBA
330515,-42.8639,-22.1667,tabela_estatica_ibge_sedes_municipais,3305150,São José do Vale do Rio Preto,SAO JOSE DO VALE DO RIO PRETO
330520,-42.0986,-22.84,tabela_estatica_ibge_sedes_municipais,3305200,São Pedro da Aldeia,SAO PEDRO DA ALDEIA
330530,-42.3,-22.0033,tabela_estatica_ibge_sedes_municipais,3305300,São Sebastião do Alto,SAO SEBASTIAO DO ALTO
330540,-42.9131,-22.0019,tabela_estatica_ibge_sedes_municipais,3305400,Sapucaia,SAPUCAIA
330550,-42.6089,-22.8711,tabela_estatica_ibge_sedes_municipais,3305500,Saquarema,SAQUAREMA
330555,-43.6847,-22.7578,tabela_estatica_ibge_sedes_municipais,3305550,Seropédica,SEROPEDICA
330560,-42.4156,-22.6458,tabela_estatica_ibge_sedes_municipais,3305600,Silva Jardim,SILVA JARDIM
330570,-42.6733,-22.0897,tabela_estatica_ibge_sedes_municipais,3305700,Sumidouro,SUMIDOURO
330575,-42.7144,-22.7408,tabela_estatica_ibge_sedes_municipais,3305750,Tanguá,TANGUA
330580,-42.9869,-22.4486,tabela_estatica_ibge_sedes_municipais,3305800,Teresópolis,TERESOPOLIS
330590,-42.2575,-22.2125,tabela_estatica_ibge_sedes_municipais,3305900,Trajano de Moraes,TRAJANO DE MORAES
330600,-43.2083,-22.0983,tabela_estatica_ibge_sedes_municipais,3306000,Três Rios,TRES RIOS
330610,-43.6956,-22.3581,tabela_estatica_ibge_sedes_municipais,3306100,Valença,VALENCA
330615,-41.8403,-20.9203,tabela_estatica_ibge_sedes_municipais,3306150,Varre-Sai,VARRE SAI
330620,-43.6586,-22.4044,tabela_estatica_ibge_sedes_municipais,3306200,Vassouras,VASSOURAS
330630,-44.1014,-22.4828,tabela_estatica_ibge_sedes_municipais,3306300,Volta Redonda,VOLTA REDONDA
